เงินเดือน |  |  |  |  |  |  |  |  | ค่าใช้จ่ายต่อเดือน |  | 
ฐานเงินเดือน |      12,500.00  | บาท | จำนวนวันที่ทำ | 30 | วัน | จำนวนเงินที่ทำ | บาท |  | รายการ | จำนวน | บาท
รายวัน |  $        416.67  | บาท | 25 |  | วัน |          12,500.00  | บาท |  | ค่ารถ |        8,353.00  | บาท
โอที จ-ศ |               78.13  | บาท | 16 | 40.0 | ช.ม |            3,125.00  | บาท |  | ค่าน้ำมัน |            800.00  | บาท
8 ช.ม เช้า ส-อท |               52.08  | บาท | 6 | 48 | ช.ม |            2,500.00  | บาท |  | ค่าไฟ |                      -    | บาท
โอที ส-อท  |            156.25  | บาท | 6 | 15 | ช.ม |            2,343.75  | บาท |  | ค่ากิน |        3,000.00  | บาท
ค่ากะ |            100.00  | บาท | 0 |  | วัน |                          -    | บาท |  | ค่าเน็ต |            600.00  | บาท
ค่าอาหารเช้า |               60.00  | บาท | 25 |  | วัน |            1,500.00  | บาท |  | เงินเก็บ |                      -    | บาท
ค่าอาหารโอที |               60.00  | บาท | 22 |  | วัน |            1,320.00  | บาท |  | เงินให้แม่กับพ่อ |                      -    | บาท
ค่าเดินทาง |            105.00  | บาท | 25 |  | วัน |            2,625.00  | บาท |  | ประกันสังคม |        1,300.00  | บาท
ค่าเป้า |            100.00  | บาท | 25 |  | วัน |            2,500.00  | บาท |  | ของใช้ส่วนตัว |                      -    | บาท
ค่าเช้าบ้าน |        2,000.00  | บาท | เดือน |  |  |            2,000.00  | บาท |  | ค่าใช้จ่ายเพื่มเติม |                      -    | บาท
เบี้ยขยัน |        1,200.00  | บาท | เดือน |  |  |            1,200.00  | บาท |  | รวมค่าใช้จ่าย |      14,053.00  | บาท
ค่า Insentive |        1,200.00  | บาท | เดือน |  |  |            1,200.00  | บาท |  | เหลือใช้ |      18,760.75  | บาท
โบนัสประจำปี |  |  |  |  |  |                          -    | บาท |  |  |  | 
รวมรายรับ |  |  |  |  |  |          32,813.75  | บาท |  |  |  | 
